Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:2749041


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2749041;1;01/12/2025;1;"121,7";"363,2";29;15;1;1;1;;0;"8,2";"2,8";"16,8";"0,0";"0,0";"0,0";"0,0";"0,0";"6,5";"19,5";"6,5";"0,1";"0,5";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"7,8";"0,0";"1,3";"1,1";"0,4";"121,7";"103,4";"66,6";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2749041;1;01/11/2025;1;"28,9";"113,5";23;11;1;1;1;;0;"4,6";"2,6";"0,0";"0,0";"0,0";"0,0";"0,0";"0,3";"0,2";"0,0";"0,0";"0,0";"7,0";"0,0";"0,0";"0,0";"6,3";"27,4";"24,0";"0,0";"0,0";"0,0";"28,9";"0,2";"0,0";"0,0";"0,0";"0,0";"12,0";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2749041;1;01/10/2025;1;"24,5";"108,3";29;26;1;1;1;;0;"0,1";"2,8";"8,8";"18,7";"1,8";"0,3";"8,3";"0,2";"0,1";"3,5";"0,5";"0,3";"8,5";"0,0";"0,0";"0,1";"1,5";"7,8";"0,0";"0,0";"0,1";"2,0";"0,6";"0,2";"0,1";"0,0";"7,6";"4,7";"24,5";"4,8";"0,4";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2749041;1;01/09/2025;1;"51,0";"196,4";21;16;1;1;1;;0;"1,7";"3,0";"0,7";"0,3";"26,3";"27,5";"2,7";"7,7";"27,1";"1,1";"0,0";"0,0";"0,0";"0,0";"0,0";"5,5";"0,0";"0,0";"0,0";"0,0";"51,0";"12,0";"0,0";"0,0";"0,0";"0,0";"0,0";"9,7";"0,3";"19,8";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2749041;1;01/08/2025;1;"45,3";"205,1";27;20;1;1;1;;0;"0,0";"0,1";"0,0";"8,4";"10,9";"0,5";"4,8";"10,5";"15,8";"0,0";"0,0";"0,0";"0,3";"0,3";"0,7";"0,9";"5,1";"0,0";"0,0";"9,4";"0,0";"0,0";"0,0";"44,0";"38,1";"7,2";"45,3";"1,5";"0,0";"0,8";"0,5";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2749041;1;01/07/2025;1;"34,0";"45,3";28;12;1;1;1;;0;"0,0";"0,0";"0,1";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,1";"0,0";"0,0";"0,0";"0,0";"0,0";"0,1";"1,1";"0,1";"0,0";"0,1";"0,0";"0,0";"0,3";"8,7";"0,2";"0,4";"34,0";"0,0";"0,1";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2749041;1;01/06/2025;1;"43,0";"195,9";27;24;1;1;1;;0;"0,0";"0,0";"3,7";"0,1";"13,7";"8,9";"0,0";"4,6";"0,0";"0,6";"0,5";"2,6";"0,9";"1,4";"17,1";"0,5";"0,0";"0,1";"0,7";"22,1";"2,3";"0,1";"38,7";"1,2";"0,0";"3,1";"43,0";"0,4";"23,3";"6,3";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2749041;1;01/05/2025;1;"11,3";"47,7";22;13;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"5,7";"0,1";"2,6";"0,4";"0,0";"0,0";"0,0";"0,0";"0,0";"2,3";"1,6";"3,6";"11,3";"3,5";"2,2";"2,6";"0,0";"0,0";"10,4";"1,4";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2749041;1;01/04/2025;1;"39,5";"77,2";9;15;1;1;1;;0;"0,0";"0,1";"3,6";"1,6";"0,1";"0,0";"0,0";"0,0";"39,5";"0,1";"4,4";"6,4";"0,3";"8,1";"0,1";"0,4";"0,0";"0,0";"0,1";"12,3";"0,0";"0,0";"0,0";"0,0";"0,1";"0,0";"0,0";"0,0";"0,0";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2749041;1;01/03/2025;1;"17,1";"75,9";26;14;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,2";"0,0";"0,0";"0,4";"7,4";"0,0";"8,8";"0,0";"0,1";"0,1";"0,0";"15,6";"0,0";"0,0";"0,0";"1,0";"2,7";"10,5";"17,1";"0,0";"0,1";"1,0";"10,9";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
