Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:83300200


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
83300200;1;01/12/2025;;1;1;"334,547";"20,4257";"73,7423";31;24;1;1;1;"0,0";0;"68,3967";"66,1431";"91,3127";"88,8506";"64,6535";"58,0796";"52,4191";"45,597";"50,3423";"79,9999";"98,8201";"93,7952";"81,5881";"72,9718";"66,1431";"60,2471";"53,8177";"46,2661";"40,3519";"31,0627";"25,2963";"23,0927";"22,014";"20,4257";"35,3061";"46,2661";"51,724";"46,2661";"112,219";"257,9975";"334,547";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83300200;1;01/11/2025;;1;1;"141,4291";"39,7101";"78,9753";24;6;1;1;1;"0,0";0;"89,669";"71,4368";"58,0796";"51,724";"44,9308";"39,7101";"62,4385";"84,7927";"92,138";"83,1857";"74,1295";"65,3971";"64,6535";"71,4368";"74,5166";"65,3971";"60,975";"86,4089";"119,0633";"104,7818";"80,7928";"68,3967";"134,0647";"141,4291";"118,2944";"97,1363";"83,1857";"68,3967";"60,975";"51,724";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
83300200;1;01/10/2025;;1;1;"206,1431";"33,4673";"100,0214";5;27;1;1;1;"0,0";0;"128,4513";"163,6211";"126,0764";"181,6039";"206,1431";"177,0347";"159,2486";"137,3174";"121,3823";"103,9237";"88,8506";"76,0712";"87,2205";"102,2139";"100,5126";"83,1857";"72,9718";"65,3971";"78,4212";"71,4368";"60,975";"55,2274";"54,5211";"48,2912";"42,9502";"37,8035";"33,4673";"55,9363";"105,6421";"143,9204";"130,8447";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83300200;1;01/09/2025;;1;1;"500,5108";"83,1857";"229,4486";23;21;1;1;1;"0,0";0;"292,9848";"284,0637";"246,4031";"183,9067";"201,3232";"346,4993";"363,5264";"388,4411";"435,0155";"425,7868";"346,4993";"271,9864";"189,0156";"151,5034";"136,5012";"118,2944";"107,3691";"96,2977";"88,0344";"88,8506";"83,1857";"261,1982";"500,5108";"340,5012";"267,6492";"194,6557";"127,6576";"117,5277";"118,2944";"109,9753";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
83300200;1;01/08/2025;;1;1;"433,6921";"44,2676";"138,3044";25;19;1;1;1;"0,0";0;"60,975";"52,4191";"48,2912";"50,3423";"53,8177";"50,3423";"62,4385";"80,7928";"107,3691";"156,6489";"159,2486";"137,3174";"97,1363";"80,7928";"62,4385";"58,0796";"51,724";"46,9382";"44,2676";"49,6557";"63,1743";"62,4385";"51,0317";"127,6576";"433,6921";"390,9705";"405,0048";"374,6525";"288,5098";"286,2832";"292,9848";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83300200;1;01/07/2025;;1;1;"338,7104";"35,9256";"91,8113";1;25;1;1;1;"0,0";0;"338,7104";"291,8634";"257,9975";"185,2942";"154,9257";"106,5045";"92,138";"82,3857";"73,7429";"66,8918";"58,7994";"50,3423";"46,9382";"50,3423";"55,9363";"69,9117";"79,2094";"66,1431";"55,9363";"48,2912";"46,2661";"41,6449";"38,4359";"37,8035";"35,9256";"46,2661";"54,5211";"63,9126";"92,9654";"81,5881";"74,5166";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83300200;1;01/06/2025;;1;1;"470,0152";"24,7397";"139,6142";27;2;1;1;1;"0,0";0;"25,2963";"24,7397";"25,8566";"28,7132";"34,6899";"63,1743";"98,8201";"97,1363";"88,0344";"77,6355";"58,0796";"37,8035";"40,3519";"37,8035";"42,9502";"71,4368";"72,9718";"68,3967";"71,4368";"97,9771";"128,4513";"138,956";"218,8975";"363,5264";"365,9867";"286,2832";"470,0152";"354,9701";"314,633";"383,4029";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
83300200;1;01/05/2025;;1;1;"79,2094";"22,014";"33,2176";23;19;1;1;1;"0,0";0;"26,9884";"25,8566";"25,2963";"24,7397";"22,8216";"22,5514";"23,6379";"24,7397";"23,6379";"26,9884";"31,0627";"29,2953";"25,8566";"25,0175";"24,7397";"23,6379";"23,0927";"22,5514";"22,014";"23,6379";"27,5597";"55,2274";"79,2094";"69,9117";"58,0796";"46,9382";"48,972";"44,2676";"40,3519";"34,0769";"26,9884";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83300200;1;01/04/2025;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83300200;1;01/03/2025;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83300200;1;01/02/2025;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83300200;1;01/01/2025;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83300200;1;01/12/2024;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;"508,9667";"508,9667";"438,996";;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83300200;1;01/11/2024;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83300200;1;01/10/2024;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83300200;1;01/09/2024;;1;1;;;;;;0;0;0;"0,0";0;"35,9256";"33,4673";"31,0627";"29,2953";"28,1347";"26,9884";"24,1869";"24,1869";"24,7397";"23,6379";"25,8566";"27,5597";"30,4701";"52,4191";"73,7429";"216,9145";"230,954";"210,0334";"167,1548";"157,5135";"167,1548";"162,7427";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0
83300200;1;01/08/2024;;1;1;"97,3834";"36,1092";"55,4605";1;13;1;1;1;"0,0";0;"97,3834";"89,2078";"80,4497";"74,2413";"68,1739";"61,5237";"57,1976";"54,3628";"43,929";"42,4605";"43,1922";"38,8797";"36,1092";"41,0126";"38,1792";"42,4605";"47,6898";"51,5768";"47,6898";"57,1976";"60,0719";"56,4851";"55,0677";"87,1953";"73,475";"53,6604";"51,5768";"49,2295";"43,1922";"40,2964";"36,1092";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83300200;1;01/07/2024;;1;1;"730,6477";"99,8746";"370,0017";12;5;1;1;1;"0,0";0;"174,1489";"123,9397";"120,4145";"108,3029";"99,8746";"104,9088";"489,4745";"723,5346";"599,298";"526,1386";"542,0749";"730,6477";"616,0985";"551,4319";"523,4954";"535,4187";"526,1386";"510,3353";"486,8839";"463,7425";"433,381";"397,4702";"361,248";"344,6782";"317,9329";"294,0469";"226,6826";"180,0114";"136,4969";"116,0481";"105,7545";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83300200;1;01/06/2024;;1;1;"388,9326";"68,9245";"201,5975";1;12;1;1;1;"0,0";0;"388,9326";"370,8129";"321,3872";"286,2012";"269,5898";"255,4194";"241,4642";"190,8977";"143,8214";"99,8746";"79,6661";"68,9245";"75,7803";"88,4013";"82,8133";"86,7944";"101,1267";"129,2801";"173,1771";"163,5429";"138,3181";"119,5377";"101,545";"142,9001";"326,0091";"378,0319";"362,4398";"342,3288";"280,6335";"238,2749";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
83300200;1;01/05/2024;;1;1;;;;;;0;0;0;"0,0";0;;;"214,2219";"237,2145";"295,1725";"263,0232";"202,4664";"183,9494";"172,2068";"149,384";"131,9736";"123,9397";"120,4145";"181,9774";"217,3186";"188,9052";"157,8366";"481,7144";"1067,4738";"832,5999";"714,4377";"599,298";"631,217";"527,4616";"506,4055";"486,8839";"489,4745";"488,1787";"459,9161";"435,8892";"407,2901";0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83300200;1;01/04/2024;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;"465,0199";"387,7172";;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0
