Data,Vazao,Precipitacao,Chuva_Lag0,Chuva_Lag1,Chuva_Lag2
1983-01-02,90.7056,0,0,0,0
1983-01-02,90.7056,0,0,0,0
1983-01-03,68.1362,0,0,0,0
1983-01-03,68.1362,0,0,0,0
1983-01-04,63.0182,0,0,0,0
1983-01-04,63.0182,0,0,0,0
1983-01-05,61.5806,0,0,0,0
1983-01-05,61.5806,0,0,0,0
1983-01-06,200.0963,0,0,0,0
1983-01-06,200.0963,0,0,0,0
1983-01-07,513.691,0,0,0,0
1983-01-07,513.691,0,0,0,0
1983-01-08,489.9101,0,0,0,0
1983-01-08,489.9101,0,0,0,0
1983-01-09,399.2969,0,0,0,0
1983-01-09,399.2969,0,0,0,0
1983-01-10,302.6324,0,0,0,0
1983-01-10,302.6324,0,0,0,0
1983-01-11,253.1054,0,0,0,0
1983-01-11,253.1054,0,0,0,0
1983-01-12,247.3921,0,0,0,0
1983-01-12,247.3921,0,0,0,0
1983-01-13,238.3417,0,0,0,0
1983-01-13,238.3417,0,0,0,0
1983-01-14,215.1266,0,0,0,0
1983-01-14,215.1266,0,0,0,0
1983-01-15,185.4333,0,0,0,0
1983-01-15,185.4333,0,0,0,0
1983-01-16,143.7468,0,0,0,0
1983-01-16,143.7468,0,0,0,0
1983-01-17,132.5004,0,0,0,0
1983-01-17,132.5004,0,0,0,0
1983-01-18,125.1742,0,0,0,0
1983-01-18,125.1742,0,0,0,0
1983-01-19,228.2954,0.3,0.3,0,0
1983-01-19,228.2954,0.3,0.3,0.3,0
1983-01-20,240.5938,26.8,26.8,0.3,0.3
1983-01-20,240.5938,26.8,26.8,26.8,0.3
1983-01-21,232.7426,0,0,26.8,26.8
1983-01-21,232.7426,0,0,0,26.8
1983-01-22,162.1668,0,0,0,0
1983-01-22,162.1668,0,0,0,0
1983-01-23,112.6926,0,0,0,0
1983-01-23,112.6926,0,0,0,0
1983-01-24,89.8921,1.3,1.3,0,0
1983-01-24,89.8921,1.3,1.3,1.3,0
1983-01-25,80.3231,1,1,1.3,1.3
1983-01-25,80.3231,1,1,1,1.3
1983-01-26,74.1462,0,0,1,1
1983-01-26,74.1462,0,0,0,1
1983-01-27,66.6604,0,0,0,0
1983-01-27,66.6604,0,0,0,0
1983-01-28,63.7412,0,0,0,0
1983-01-28,63.7412,0,0,0,0
1983-01-29,100.6558,25,25,0,0
1983-01-29,100.6558,25,25,25,0
1983-01-30,189.5847,26.4,26.4,25,25
1983-01-30,189.5847,26.4,26.4,26.4,25
1983-01-31,338.7572,21.8,21.8,26.4,26.4
1983-01-31,338.7572,21.8,21.8,21.8,26.4
1983-02-01,307.5194,3.4,3.4,21.8,21.8
1983-02-01,307.5194,3.4,3.4,3.4,21.8
1983-02-02,260.0185,2,2,3.4,3.4
1983-02-02,260.0185,2,2,2,3.4
1983-02-03,239.4669,0,0,2,2
1983-02-03,239.4669,0,0,0,2
1983-02-04,191.6719,0,0,0,0
1983-02-04,191.6719,0,0,0,0
1983-02-05,126.9927,0,0,0,0
1983-02-05,126.9927,0,0,0,0
1983-02-06,98.136,1,1,0,0
1983-02-06,98.136,1,1,1,0
1983-02-07,89.081,0,0,1,1
1983-02-07,89.081,0,0,0,1
