1025,Ituporanga - EE_Epagri/Automatizada,Ituporanga,-27.42,-49.65,475,
Codigo,Data Horario,TempArInst(C),TempMin(C),TempMax(C),Vel.MediaVento(m/s),Dir.MediaVento(Graus),VentoMax(m/s),PressaoAtm(mB),UmidRelMedia(%),Precipitacao(mm)
1025,01/07/2024 00:00:00,1.94,1.94,2.52,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 01:00:00,1.39,1.39,1.94,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 02:00:00,.96,.96,1.41,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 03:00:00,1.17,.81,1.18,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 04:00:00,1.39,1.15,1.39,9999.9,9999.9,9999.9,9999.9,9999.9,.2,
1025,01/07/2024 05:00:00,1.46,1.38,1.55,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 06:00:00,1.48,1.45,1.55,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 07:00:00,1.39,1.39,1.53,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 08:00:00,1.26,1.19,1.39,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 09:00:00,1.51,1.26,1.52,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 10:00:00,2.43,1.5,2.43,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 11:00:00,4.68,2.43,4.68,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 12:00:00,8.89,4.68,8.89,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 13:00:00,11.94,8.89,11.94,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 14:00:00,14.61,11.94,14.66,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 15:00:00,16.64,14.54,16.64,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 16:00:00,16.69,16.55,16.75,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 17:00:00,16.26,16.2,16.7,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 18:00:00,12.87,12.85,16.27,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 19:00:00,9.5,9.5,12.87,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 20:00:00,7.62,7.62,9.49,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 21:00:00,6.44,6.44,7.62,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 22:00:00,5.36,5.36,6.45,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,01/07/2024 23:00:00,4.62,4.62,5.35,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 00:00:00,4.04,4.04,4.65,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 01:00:00,3.74,3.74,4.09,9999.9,9999.9,9999.9,9999.9,9999.9,.2,
1025,02/07/2024 02:00:00,2.92,2.92,3.75,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 03:00:00,3.56,2.84,3.62,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 04:00:00,3.51,3.51,3.6,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 05:00:00,3.27,3.27,3.51,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 06:00:00,3.23,3.23,3.32,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 07:00:00,3.12,3.11,3.24,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 08:00:00,3.12,3.08,3.17,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 09:00:00,3.42,3.12,3.43,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 10:00:00,4.89,3.42,4.89,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 11:00:00,7.28,4.89,7.28,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 12:00:00,11.44,7.28,11.44,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 13:00:00,13.87,11.44,13.87,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 14:00:00,16.33,13.88,16.34,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 15:00:00,18.2,16.33,18.35,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 16:00:00,18.3,17.99,18.4,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 17:00:00,18.09,18.09,18.4,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 18:00:00,14.2,14.2,18.09,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 19:00:00,11.77,11.77,14.2,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 20:00:00,9.71,9.71,11.77,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 21:00:00,8.75,8.75,9.71,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,02/07/2024 22:00:00,7.84,7.84,8.75,9999.9,9999.9,9999.9,9999.9,9999.9,.2,
1025,02/07/2024 23:00:00,7.42,7.42,7.96,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,03/07/2024 00:00:00,6.93,6.93,7.42,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,03/07/2024 01:00:00,6.35,6.35,6.93,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,03/07/2024 02:00:00,5.93,5.93,6.35,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,03/07/2024 03:00:00,6.04,5.86,6.06,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,03/07/2024 04:00:00,6.14,6.04,6.16,9999.9,9999.9,9999.9,9999.9,9999.9,0,
1025,03/07/2024 05:00:00,6.16,6.05,6.17,9999.9,9999.9,9999.9,9999.9,9999.9,0,
