"Data","precipitacao_total","pressao_atmosferica","temperatura_maxima","temperatura_media","Temperatura_minima","umidade_relativa_media","umidade_relativa_minima","vel_vento_max","vel_vento_med"
2008-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-05,NA,NA,NA,NA,NA,NA,37,5.6,NA
2008-03-06,NA,955.8,29.7,21.6,16.2,78,41,5,0.6
2008-03-07,0,958,31.1,23.8,18.7,75,37,6.5,1.2
2008-03-08,0,960.2,30.4,23.8,19.3,76.4,40,6.1,1.3
2008-03-09,0,960.9,29.9,23.1,17,77,46,7.1,1.1
2008-03-10,0,958.9,29.4,22.6,17.3,79.8,48,6.3,0.9
2008-03-11,0,955.8,29.9,23.1,20.8,83.5,56,11.7,1.2
2008-03-12,1.6,957.5,22.5,19.4,18.6,89.1,75,5.9,1.7
2008-03-13,5.4,958.4,26.1,19.5,16.5,84.7,57,7.9,1.1
2008-03-14,0.2,960,25.6,18.5,13.2,81,52,7.5,1.3
2008-03-15,0.4,962.9,24.7,17.5,12.1,83.5,57,10.5,1.7
2008-03-16,0.2,964.4,25.9,18.2,13.7,84.5,51,7.1,1.5
2008-03-17,3,963.9,26.5,18.2,12.6,86.5,59,4.5,0.5
2008-03-18,0.6,963,27.5,21.5,15.1,82.9,59,7,1.3
2008-03-19,0,962,27.8,22.2,19.1,82.5,58,8.1,1.3
2008-03-20,0,961.6,29.2,22.6,19.3,80.4,51,15.6,1
2008-03-21,5.8,960.6,28.8,21.2,17.5,85.4,55,7.5,1.1
2008-03-22,17.8,958.5,29.3,22,18.5,84.2,54,11.5,0.9
2008-03-23,1.8,959.6,26.6,20.3,17.8,90,63,7.4,1.2
2008-03-24,1.6,961.4,26.7,21.1,17.6,83.9,60,5.6,1
2008-03-25,NA,NA,23.4,NA,18.9,82.4,70,4.4,NA
2008-03-26,NA,NA,NA,NA,NA,78.2,65,4.6,NA
2008-03-27,NA,NA,NA,NA,NA,67.9,42,5.8,NA
2008-03-28,4.4,957.1,25.7,20.3,17.8,90.8,68,6,0.6
2008-03-29,NA,NA,26.4,NA,16,75.5,50,9.8,NA
2008-03-30,NA,962.7,22,NA,14.6,82.4,63,5.8,1
2008-03-31,NA,NA,NA,NA,NA,71.6,54,6,NA
2008-04-01,NA,957.7,23.8,NA,17.1,84,62,5.5,0.7
2008-04-02,NA,NA,24.7,NA,15,90.9,67,4.7,NA
2008-04-03,NA,NA,NA,NA,NA,65.1,35,6.8,NA
2008-04-04,NA,958.4,25.1,NA,11.9,76.6,44,5.4,1.1
2008-04-05,0,959.1,25.4,18.5,14.5,78.5,39,6.2,0.6
2008-04-06,0,958.9,25.7,18.5,13.4,78.8,36,7,0.6
2008-04-07,0,958.5,28.5,20,14.6,79.8,37,5.2,0.7
2008-04-08,0.2,960.3,28.9,20.5,15.1,77.9,33,5.7,0.6
2008-04-09,0,960.6,28.5,19.8,14.9,80.5,35,5.9,0.5
2008-04-10,0,957,28,19.7,15.8,88.3,57,8.4,0.5
2008-04-11,2.8,953.9,29.8,21.8,17.4,85.1,56,6.6,0.9
2008-04-12,11.6,953.6,23.2,20,18,89.8,74,8.6,1.2
2008-04-13,NA,NA,20.4,NA,17,95.1,82,7.3,NA
2008-04-14,NA,NA,NA,NA,NA,NA,57,6.1,NA
2008-04-15,NA,NA,NA,NA,NA,68.9,45,6.9,NA
2008-04-16,NA,NA,NA,NA,9,NA,71,3.4,NA
2008-04-17,NA,NA,NA,NA,NA,NA,91,4.3,NA
2008-04-18,NA,NA,NA,NA,NA,74.6,49,4.6,NA
2008-04-19,NA,962.9,23.7,NA,12.3,83.6,53,5.2,0.7
2008-04-20,NA,NA,NA,NA,13.2,NA,93,5.4,NA
2008-04-21,NA,NA,NA,NA,NA,79.4,61,4.6,NA
2008-04-22,0,958.1,25.8,18.8,15.4,85.1,45,6.9,1.1
2008-04-23,0.4,956.6,26.9,17.6,11.8,84.1,45,9.2,0.9
2008-04-24,0,955.9,25.8,18.2,13.6,82,44,7.5,0.8
2008-04-25,0.4,955.7,26.6,16.4,10.4,82.4,33,7,0.7
2008-04-26,0.2,955.6,24.1,16.1,9.5,87,57,8.8,0.7
2008-04-27,0.6,955.7,24.6,18,13.1,87.1,61,6.1,0.9
2008-04-28,8.6,NA,19.9,NA,14.8,96.5,83,5.7,NA
2008-04-29,NA,NA,NA,NA,NA,NA,85,5.6,NA
2008-04-30,NA,NA,NA,NA,NA,64.9,39,5.5,NA
2008-05-01,0.2,965.3,19.4,10.4,4.3,88,57,7.3,0.9
2008-05-02,NA,NA,NA,NA,NA,NA,82,6.6,NA
2008-05-03,NA,NA,NA,NA,NA,75.1,55,8.6,NA
2008-05-04,NA,NA,22.1,NA,14.1,78.6,58,9.8,NA
2008-05-05,NA,958.1,20.6,NA,10.8,72.8,48,9.8,1.9
2008-05-06,NA,959.2,20.3,NA,8.6,69.6,38,9.1,2.1
2008-05-07,0.2,961.4,20,10.3,4.4,84.8,44,4.2,0.4
2008-05-08,0.2,960.7,20.6,11.5,5.4,87.8,51,4.9,0.7
2008-05-09,0,962.6,20.4,13.1,7.1,79.1,38,5.3,1.1
2008-05-10,0.2,965.6,20,11.9,4.5,79.9,52,4.8,0.8
2008-05-11,0.2,967.4,18.6,12.2,6.4,85.3,56,6,0.7
2008-05-12,0,967.7,21.3,15.1,8.4,83.5,54,6.1,0.8
2008-05-13,0,967.2,21.9,14.9,10.5,85.7,53,4.9,0.6
2008-05-14,0.2,965.3,21.3,13.9,9.9,89.3,56,4.4,0.4
2008-05-15,0,963.2,21.6,14,8.2,87.2,59,7.1,0.9
2008-05-16,0.4,963.5,22,13.3,8.5,88,52,5.8,0.3
